qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
407	Ensemble-o6-m1-b1	0.343410	0.057992	0.366392	0.032789	0.111913	-0.000959	0.262441	-0.008466	0.084318	0.011505
407	Ensemble-o8-m1-b1	0.332818	0.047400	0.362551	0.028949	0.109077	-0.003795	0.262441	-0.008466	0.081060	0.008247
407	Ensemble-o4-m05-b1	0.341230	0.055812	0.378527	0.044924	0.104462	-0.008411	0.262441	-0.008466	0.085157	0.012343
407	Ensemble-o4-m1-b05	0.343034	0.057616	0.365897	0.032294	0.106156	-0.006716	0.262441	-0.008466	0.084540	0.011727
407	Ensemble-o6-m05-b1	0.331731	0.046314	0.350018	0.016416	0.106242	-0.006630	0.262441	-0.008466	0.081086	0.008272
477	BM25	0.560631	0.000000	0.474184	0.000000	0.101161	0.000000	0.267991	0.000000	0.132984	0.000000
477	MiniLM-o4	0.623857	0.063227	0.514771	0.040587	0.100890	-0.000272	0.291618	0.023627	0.153594	0.020610
477	BGE-o2	0.616883	0.056252	0.552999	0.078814	0.090584	-0.010578	0.291618	0.023627	0.146423	0.013439
477	BGE-o4	0.610841	0.050210	0.505061	0.030877	0.101295	0.000134	0.291618	0.023627	0.151747	0.018763
477	Ensemble-o4-m1-b1	0.624997	0.064367	0.510749	0.036565	0.092596	-0.008566	0.291618	0.023627	0.149830	0.016846
477	Ensemble-o6-m1-b1	0.625081	0.064450	0.517956	0.043772	0.099849	-0.001312	0.291618	0.023627	0.152867	0.019883
477	Ensemble-o8-m1-b1	0.616542	0.055911	0.510220	0.036036	0.100255	-0.000907	0.291618	0.023627	0.152709	0.019725
477	Ensemble-o4-m05-b1	0.620233	0.059603	0.518751	0.044567	0.097431	-0.003730	0.291618	0.023627	0.151920	0.018936
477	Ensemble-o4-m1-b05	0.620233	0.059603	0.518977	0.044792	0.097431	-0.003730	0.291618	0.023627	0.152969	0.019985
